"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"26125","Oakland, MI",89591329,91657846,92613920,91623177,92950886,86061983,84850672,80173061,72070028,77676343,82924476,88498319,89784900,91482697,94319703,97234958,98555068,100906866
"26127","Oceana, MI",603956,572759,689764,623351,625329,675892,687055,620108,637374,667196,699900,653848,687733,672253,671701,685916,687675,718437
"26129","Ogemaw, MI",495522,509497,518822,530181,540792,538837,530459,511642,486662,510880,498060,492054,489063,525539,514152,502351,546851,567601
"26131","Ontonagon, MI",202585,207436,207964,213848,214709,219116,210215,194333,174574,171672,147480,140365,135163,136077,134941,138744,141876,142264
"26133","Osceola, MI",675166,706179,841250,743110,755185,783392,690372,630891,593653,611308,629578,618132,612400,664036,642306,629201,643961,673677
"26135","Oscoda, MI",203419,201689,205346,210613,217641,245642,237011,215120,186520,191654,197275,195904,194346,192413,197573,199445,202950,209237
"26137","Otsego, MI",1248681,938188,977976,958241,968303,944445,912245,857346,839054,831602,843804,821733,799008,813673,829996,873003,894499,929428
"26139","Ottawa, MI",10532873,10812353,11005688,11278921,11447036,11298403,10970059,11062195,10230082,10841677,11059452,11046972,11327827,11670834,12106940,12189756,12703019,13219620
"26141","Presque Isle, MI",353650,362055,347768,335531,329399,342354,335894,326807,329851,324579,335951,332959,342328,342974,373275,393475,396078,398223
"26143","Roscommon, MI",547386,588132,596438,599139,581229,602245,574967,539344,515069,545050,549121,546346,546232,537667,537347,550260,563167,581803
"26145","Saginaw, MI",7702318,7876524,8185245,7960129,7999163,7932479,7741576,7281857,6840694,7314474,7444076,7448099,7536066,7601528,7741964,7929192,7943763,8120484
"26147","St. Clair, MI",4748746,4921516,5000372,5182968,5144770,5290125,5285467,5021037,4735081,4849772,4901167,5033056,5033064,4885961,4884175,4965492,4952919,5122024
