city_fips,st,place,p1980,p1990,p2000,p2010
1779163,Illinois,Waterman village,943,1074,1224,1506
1779228,Illinois,Watseka city,5543,5424,5670,5255
1779241,Illinois,Watson village,551,646,729,754
1779267,Illinois,Wauconda village,5688,6294,9448,13603
1779293,Illinois,Waukegan city,67653,69392,87901,89078
1779358,Illinois,Waverly city,1537,1402,1346,1307
1779436,Illinois,Wayne City village,1132,1099,1089,1032
1779397,Illinois,Wayne village,940,1541,2137,2431
1779449,Illinois,Waynesville village,569,440,452,434
1779683,Illinois,Weldon village,531,361,440,429
1779735,Illinois,Wellington village,370,294,264,242
1779813,Illinois,Wenona city,1025,950,1065,1056
1779826,Illinois,Wenonah village,70,40,44,37
1780008,Illinois,West Brooklyn village,210,164,174,142
1780060,Illinois,West Chicago city,12550,14796,23469,27086
1780073,Illinois,West City village,886,747,716,661
1780125,Illinois,West Dundee village,3551,3728,5428,7331
1706143,Illinois,West End (U),,,,
1780333,Illinois,West Frankfort city,9437,8526,8196,8182
1780736,Illinois,West Peoria city,5219,5314,4762,4458
1780762,Illinois,West Point village,223,214,195,178
1780853,Illinois,West Salem village,1145,1042,1001,897
1780879,Illinois,West Union CDP,,,,288
1780957,Illinois,West York CDP,,,,129
1780047,Illinois,Westchester village,17730,17301,16824,16718
1780242,Illinois,Western Springs village,12876,11984,12493,12975
1780255,Illinois,Westervelt CDP,,,,128
1780281,Illinois,Westfield village,733,676,678,601
1706157,Illinois,Westhaven,2784,,,
1780645,Illinois,Westmont village,16718,21228,24554,24685
1780931,Illinois,Westville village,3573,3387,3175,3202
1781048,Illinois,Wheaton city,43043,51464,55416,52894
1781074,Illinois,Wheeler village,166,161,119,147
1781087,Illinois,Wheeling village,23266,29911,34496,37648
1781191,Illinois,White City village,214,229,221,232
1781256,Illinois,White Hall city,2935,2814,2629,2520
1781295,Illinois,White Heath CDP,,,,290
1781165,Illinois,Whiteash village,268,249,268,241
1706218,Illinois,Wildwood,2034,,,
1781802,Illinois,Williamsfield village,585,571,620,578
1781815,Illinois,Williamson village,319,278,251,230
1781854,Illinois,Williamsville village,996,1140,1439,1476
1781867,Illinois,Willisville village,628,577,694,633
1782010,Illinois,Willow Hill village,292,268,250,230
1782049,Illinois,Willow Springs village,4147,4509,5027,5524
1781938,Illinois,Willowbrook CDP,,1808,2130,2076
1781919,Illinois,Willowbrook village,4953,8598,8967,8540
1782075,Illinois,Wilmette village,28229,26690,27651,27087
1782101,Illinois,Wilmington city,4424,4743,5134,5724
1782088,Illinois,Wilmington village,185,129,120,142
1782218,Illinois,Wilsonville village,608,609,604,586
1782270,Illinois,Winchester city,1716,1769,1650,1593
1782322,Illinois,Windsor city,1228,1143,1125,1187
1782309,Illinois,Windsor village,863,774,720,748
1782400,Illinois,Winfield village,4422,7096,8718,9080
1782491,Illinois,Winnebago village,1644,1840,2958,3101
1782530,Illinois,Winnetka village,12772,12174,12419,12187
1782543,Illinois,Winslow village,361,317,345,338
1782686,Illinois,Winthrop Harbor village,5438,6240,6670,6742
1782725,Illinois,Witt city,1205,866,991,903
1782842,Illinois,Wonder Lake CDP,5917,6664,7463,
1782855,Illinois,Wonder Lake village,,1024,1345,4026
1782985,Illinois,Wood Dale city,11251,12425,13535,13770
1783271,Illinois,Wood River city,12449,11490,11296,10657
1783063,Illinois,Woodhull village,901,808,809,811
1783102,Illinois,Woodland village,333,313,319,324
1783206,Illinois,Woodlawn village,471,582,630,698
